SF,Pattern,query_number,Run,visual_name,p50
10,fab_dl,22,1,Catalog Revenue Ranked by Promotion,291.75853729248047
10,fab_dl,22,2,Catalog Revenue Ranked by Promotion,189.71705436706543
10,fab_dl,22,3,Catalog Revenue Ranked by Promotion,173.28238487243652
10,fab_dl,23,1,Card,189.4388198852539
10,fab_dl,23,2,Card,165.38119316101074
10,fab_dl,23,3,Card,161.93413734436035
10,fab_dl,24,1,Store Revenue Time Analysis,1385.652780532837
10,fab_dl,24,2,Store Revenue Time Analysis,758.5160732269287
10,fab_dl,24,3,Store Revenue Time Analysis,589.930534362793
100,DB_Composite Model,1,1,Catalog Sales Quantity YoY,13649.582386016846
100,DB_Composite Model,1,2,Catalog Sales Quantity YoY,157.38439559936523
100,DB_Composite Model,1,3,Catalog Sales Quantity YoY,162.34064102172852
100,DB_Composite Model,2,1,Store Profit % Split by Category,149.9929428100586
100,DB_Composite Model,2,2,Store Profit % Split by Category,60.044288635253906
100,DB_Composite Model,2,3,Store Profit % Split by Category,54.24356460571289
100,DB_Composite Model,3,1,Slicer,145.18475532531738
100,DB_Composite Model,3,2,Slicer,46.87809944152832
100,DB_Composite Model,3,3,Slicer,45.48978805541992
100,DB_Composite Model,4,1,Catalog Revenue Ranked by Promotion,280.5216312408447
100,DB_Composite Model,4,2,Catalog Revenue Ranked by Promotion,109.8630428314209
100,DB_Composite Model,4,3,Catalog Revenue Ranked by Promotion,100.65937042236328
100,DB_Composite Model,5,1,Card,7212.664842605591
100,DB_Composite Model,5,2,Card,1779.9932956695557
100,DB_Composite Model,5,3,Card,1661.3044738769531
100,DB_Composite Model,6,1,Store Revenue Time Analysis,138.49258422851562
100,DB_Composite Model,6,2,Store Revenue Time Analysis,144.90222930908203
100,DB_Composite Model,6,3,Store Revenue Time Analysis,183.14242362976074
100,DB_Composite Model,7,1,Slicer,47.28960990905762
100,DB_Composite Model,7,2,Slicer,43.29371452331543
100,DB_Composite Model,7,3,Slicer,46.6771125793457
100,DB_Composite Model,8,1,Slicer,46.35047912597656
100,DB_Composite Model,8,2,Slicer,46.33760452270508
100,DB_Composite Model,8,3,Slicer,47.35231399536133
100,DB_Composite Model,9,1,Catalog Sales Quantity YoY,128.86333465576172
100,DB_Composite Model,9,2,Catalog Sales Quantity YoY,120.7735538482666
100,DB_Composite Model,9,3,Catalog Sales Quantity YoY,122.54977226257324
100,DB_Composite Model,10,1,Store Profit % Split by Category,2056.9393634796143
100,DB_Composite Model,10,2,Store Profit % Split by Category,1744.4350719451904
100,DB_Composite Model,10,3,Store Profit % Split by Category,1660.437822341919
100,DB_Composite Model,11,1,Slicer,46.64158821105957
100,DB_Composite Model,11,2,Slicer,47.52945899963379
100,DB_Composite Model,11,3,Slicer,46.17571830749512
100,DB_Composite Model,12,1,Catalog Revenue Ranked by Promotion,77.83818244934082
100,DB_Composite Model,12,2,Catalog Revenue Ranked by Promotion,80.78932762145996
100,DB_Composite Model,12,3,Catalog Revenue Ranked by Promotion,78.24373245239258
100,DB_Composite Model,13,1,Card,1803.917646408081
100,DB_Composite Model,13,2,Card,1588.5801315307617
100,DB_Composite Model,13,3,Card,1622.4093437194824
100,DB_Composite Model,14,1,Store Revenue Time Analysis,9018.79096031189
100,DB_Composite Model,14,2,Store Revenue Time Analysis,3144.7670459747314
100,DB_Composite Model,14,3,Store Revenue Time Analysis,2683.713674545288
100,DB_Composite Model,15,1,Slicer,52.16526985168457
100,DB_Composite Model,15,2,Slicer,49.831390380859375
100,DB_Composite Model,15,3,Slicer,46.99301719665527
100,DB_Composite Model,16,1,Slicer,45.55845260620117
100,DB_Composite Model,16,2,Slicer,45.217037200927734
100,DB_Composite Model,16,3,Slicer,46.6616153717041
100,DB_Composite Model,17,1,Slicer,47.38569259643555
100,DB_Composite Model,17,2,Slicer,45.62568664550781
100,DB_Composite Model,17,3,Slicer,46.155691146850586
100,DB_Composite Model,18,1,Slicer,45.821428298950195
100,DB_Composite Model,18,2,Slicer,47.11723327636719
100,DB_Composite Model,18,3,Slicer,46.96297645568848
100,DB_Composite Model,19,1,Catalog Sales Quantity YoY,1969.4859981536865
100,DB_Composite Model,19,2,Catalog Sales Quantity YoY,2363.898515701294
100,DB_Composite Model,19,3,Catalog Sales Quantity YoY,1912.5685691833496
100,DB_Composite Model,20,1,Store Profit % Split by Category,1730.396032333374
100,DB_Composite Model,20,2,Store Profit % Split by Category,1862.142562866211
100,DB_Composite Model,20,3,Store Profit % Split by Category,1652.404546737671
100,DB_Composite Model,21,1,Slicer,51.61643028259277
100,DB_Composite Model,21,2,Slicer,54.47959899902344
100,DB_Composite Model,21,3,Slicer,48.9346981048584
100,DB_Composite Model,22,1,Catalog Revenue Ranked by Promotion,1847.8281497955322
100,DB_Composite Model,22,2,Catalog Revenue Ranked by Promotion,1875.4172325134277
100,DB_Composite Model,22,3,Catalog Revenue Ranked by Promotion,1754.399299621582
100,DB_Composite Model,23,1,Card,1563.0953311920166
100,DB_Composite Model,23,2,Card,1719.022274017334
100,DB_Composite Model,23,3,Card,1557.9102039337158
100,DB_Composite Model,24,1,Store Revenue Time Analysis,2022.6850509643555
100,DB_Composite Model,24,2,Store Revenue Time Analysis,2514.3611431121826
100,DB_Composite Model,24,3,Store Revenue Time Analysis,2238.908052444458
100,DL_Mirror,1,1,Catalog Sales Quantity YoY,18592.771768569946
100,DL_Mirror,1,2,Catalog Sales Quantity YoY,20752.824783325195
100,DL_Mirror,1,3,Catalog Sales Quantity YoY,21961.73882484436
100,DL_Mirror,2,1,Store Profit % Split by Category,30711.015939712524
100,DL_Mirror,2,2,Store Profit % Split by Category,36381.839990615845
100,DL_Mirror,2,3,Store Profit % Split by Category,42620.192527770996
100,DL_Mirror,3,1,Slicer,213.98568153381348
100,DL_Mirror,3,2,Slicer,211.2281322479248
100,DL_Mirror,3,3,Slicer,256.0737133026123
100,DL_Mirror,4,1,Catalog Revenue Ranked by Promotion,11296.66805267334
100,DL_Mirror,4,2,Catalog Revenue Ranked by Promotion,13496.091604232788
100,DL_Mirror,4,3,Catalog Revenue Ranked by Promotion,13525.451183319092
100,DL_Mirror,5,1,Card,9859.315872192383
100,DL_Mirror,5,2,Card,13026.079416275024
100,DL_Mirror,5,3,Card,14115.085124969482
100,DL_Mirror,6,1,Store Revenue Time Analysis,23682.411193847656
100,DL_Mirror,6,2,Store Revenue Time Analysis,29689.675092697144
100,DL_Mirror,6,3,Store Revenue Time Analysis,36580.94024658203
100,DL_Mirror,7,1,Slicer,1144.0932750701904
100,DL_Mirror,7,2,Slicer,2928.1039237976074
100,DL_Mirror,7,3,Slicer,3140.6209468841553
100,DL_Mirror,8,1,Slicer,644.9079513549805
100,DL_Mirror,8,2,Slicer,292.1431064605713
100,DL_Mirror,8,3,Slicer,845.8375930786133
100,DL_Mirror,9,1,Catalog Sales Quantity YoY,1758.4340572357178
100,DL_Mirror,9,2,Catalog Sales Quantity YoY,3060.040235519409
